Altium Designer Pick and Place Locations
C:\Users\Vaishnavi\Documents\2_Spring_2023\PCB\Design Projects\New folder\PCB_Board_3_Golden_Arduino\Final\PCB_Project\Project Outputs for PCB_Project\Pick Place for Golden_arduino Updated.csv

========================================================================================================================
File Design Information:

Date:       09/03/23
Time:       04:08
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C6","22pF","TopLayer","1206_Passive_Capacitor","2220.000","1389.000","270","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C5","22pF","TopLayer","1206_Passive_Capacitor","1245.000","1564.000","90","22pF ±5% 1kV C0G 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C3","22uF","TopLayer","1206_Passive_Capacitor","115.000","719.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"Y2","X322516MLB4SI","TopLayer","Crystal_resonator","2293.035","1214.994","270","±10ppm 16000000Hz -40?~85? ?????? 60O 9pF SMD3225-4P Crystals ROHS"
"Y1","X322512MSB4SI","TopLayer","Crystal_resonator","1078.465","1701.690","90","SMD Crystal Resonators 12MHz ±10ppm SMD-3225_4P RoHS"
"U2","CH340G","TopLayer","USB_to_serial","775.000","2125.000","0","Transceiver USB 2.0 2Mbps SOP-16_150mil USB ICs RoHS"
"U1","ATMEGA328P-ANR","TopLayer","ATMega328P","2625.000","930.000","90","AVR AVR® ATmega Microcontroller IC 8-Bit 20MHz 32KB (16K x 16) FLASH 32-TQFP (7x7)"
"TP12","10x Probe TP","TopLayer","TP10x_Probe","3260.000","960.000","0","Test Point 300 mil centers"
"SDA","10x Probe TP","TopLayer","TP10x_Probe","3260.000","695.000","0","Test Point 300 mil centers"
"TP10","10x Probe TP","TopLayer","TP10x_Probe","3260.000","1240.000","0","Test Point 300 mil centers"
"TP9","10x Probe TP","TopLayer","TP10x_Probe","3260.000","1515.000","0","Test Point 300 mil centers"
"TP8","10x Probe TP","TopLayer","TP10x_Probe","1220.000","2500.000","180","Test Point 300 mil centers"
"TP7","10x Probe TP","TopLayer","TP10x_Probe","750.000","2495.000","180","Test Point 300 mil centers"
"TP4","10x Probe Floating TP","TopLayer","TP10x_Floating","355.000","1565.000","90","Test Point 300 mil centers"
"TP3","10x Probe TP","TopLayer","TP10x_Probe","135.000","1170.000","90","Test Point 300 mil centers"
"TP2","10x Probe TP","TopLayer","TP10x_Probe","990.000","180.000","0","Test Point 300 mil centers"
"TP1","10x Probe TP","TopLayer","TP10x_Probe","280.000","2490.000","180","Test Point 300 mil centers"
"SW1","TL3305AF160QG","TopLayer","Switch_JLC","1475.079","204.055","0","Tactile Switch SPST-NO Top Actuated Surface Mount"
"R9","1k","TopLayer","1206_Passive_Resitor","1490.000","774.000","90","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R8","1k","TopLayer","1206_Passive_Resitor","685.000","1846.000","270","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R7","1k","TopLayer","1206_Passive_Resitor","570.000","1846.000","270","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R6","1M","TopLayer","1206_Passive_Resitor","2130.000","1201.000","270","CHIP RESISTOR - SURFACE MOUNT 1MOHMS ±1% 1/4W 1206 ROHS"
"R5","1M","TopLayer","1206_Passive_Resitor","1245.000","1749.000","90","CHIP RESISTOR - SURFACE MOUNT 1MOHMS ±1% 1/4W 1206 ROHS"
"R4","1k","TopLayer","1206_Passive_Resitor","1064.000","430.000","180","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R3","1k","TopLayer","1206_Passive_Resitor","885.000","789.000","270","CHIP RESISTOR - SURFACE MOUNT 1KOHMS ±1% 1/4W 1206 ROHS"
"R2","500m","TopLayer","1206_Passive_Resitor","369.000","1180.000","0","Resistors/Shunt 250mW 500mO ±800ppm/? ±5% 1206  Current Sense  Resistors ROHS"
"R1","10k","TopLayer","1206_Passive_Resitor","1600.000","441.000","90","10 kOhms ±5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Automotive AEC-Q200 Thick Film"
"PS1","AMS1117-3.3","TopLayer","LDO","399.000","851.000","90","LOW DROPOUT REGULATORS(LDO) POSITIVE FIXED 1.3V @ 800MA 15V 3.3V 1A SOT-223 ROHS"
"P1","Power Jack","TopLayer","Power_Jack","473.110","193.464","180","Power Barrel Connector Jack 2.10mm ID (0.083"), 5.50mm OD (0.217") Through Hole, Right Angle"
"LED5","Red","TopLayer","LED_1206","1295.000","774.000","270","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS"
"LED4","Green","TopLayer","LED_1206","830.000","1479.000","90","Green 513~528nm 1206 Light Emitting Diodes (LED) RoHS"
"LED3","Yellow","TopLayer","LED_1206","625.000","1484.000","90","yellow 1206  Light Emitting Diodes (LED) ROHS"
"LED2","Red","TopLayer","LED_1206","670.000","789.000","270","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS"
"LED1","Red","TopLayer","LED_1206","814.000","430.000","0","Red 621~631nm 1206 Light Emitting Diodes (LED) RoHS"
"L1","FB_10uH_1206","TopLayer","AIML-1206_ABR-M","2675.000","596.500","270","25mA 10uH ±10% 800mO 1206  Inductors (SMD) ROHS"
"J10","PPTC081LFBN-RC","TopLayer","8_PIN_100MIL_-_Female","2321.000","380.000","0","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J9","PPTC101LFBN-RC","TopLayer","10_PIN_ARDUINO_100MIL","2060.000","2280.000","0","10 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J8","PPTC061LFBN-RC","TopLayer","6_PIN_100MIL_-Female","3121.000","380.000","0","6 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J7","PPTC061LFBN-RC","TopLayer","6_PIN_100MIL_-Female","3120.000","80.000","0","6 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J6","PPTC101LFBN-RC","TopLayer","10_PIN_100MIL_-_Female","2060.000","2580.000","180","10 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J5","PPTC081LFBN-RC","TopLayer","8_PIN_100MIL_-_Female","2321.000","80.000","0","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J4","PPTC081LFBN-RC","TopLayer","8_PIN_ARD-DIG_100MIL","3020.000","2280.000","0","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J3","PPTC081LFBN-RC","TopLayer","8_PIN_100MIL_-_Female","3020.000","2580.000","180","8 Position Header Connector 0.100" (2.54mm) Through Hole Tin"
"J2","NRPN032PAEN-RC","TopLayer","ICSP","1760.000","770.000","90","Connector Header Through Hole 6 position 0.079" (2.00mm)"
"J1","USB Mini","TopLayer","USB_MINI_B","195.000","2145.000","270","Through Hole USB Connectors RoHS"
"D1","SRV05-4-P-T7","TopLayer","TVS","1363.494","2140.000","0","TVS SOT-23-6 ROHS"
"C14","22uF","TopLayer","1206_Passive_Capacitor","805.000","1844.000","270","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C13","22uF","TopLayer","1206_Passive_Capacitor","754.000","2360.000","180","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C12","22uF","TopLayer","1206_Passive_Capacitor","2540.000","1249.000","270","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C11","22uF","TopLayer","1206_Passive_Capacitor","485.000","2184.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C10","22uF","TopLayer","1206_Passive_Capacitor","2655.000","1250.000","270","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C9","22uF","TopLayer","1206_Passive_Capacitor","2550.000","599.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C8","22uF","TopLayer","1206_Passive_Capacitor","2315.000","1001.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C7","22uF","TopLayer","1206_Passive_Capacitor","1110.000","1975.000","90","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C4","22uF","TopLayer","1206_Passive_Capacitor","535.000","555.000","0","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C2","22uF","TopLayer","1206_Passive_Capacitor","371.000","2345.000","0","22uF ±10% 25V X5R 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS"
"C1","1uF","TopLayer","1206_Passive_Capacitor","1345.000","441.000","90","MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 50V 1206 ROHS"
"1","PREC003SAAN-RC","TopLayer","3_PIN_100mil","135.000","1690.000","90","Connector Header Through Hole 3 position 0.100" (2.54mm)"
