Altium Designer Pick and Place Locations
C:\Users\Vaishnavi\Documents\2_Spring_2023\PCB\Design Projects\New folder\PCB_Board_4\Board_4\Project Outputs for Board_4\Pick Place for PCB_Board_4_Layout.csv

========================================================================================================================
File Design Information:

Date:       13/04/23
Time:       08:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"Y2","X322516MLB4SI","TopLayer","Crystal_resonator","3116.535","1038.310","90","±10ppm 16000000Hz -40?~85? ?????? 60O 9pF SMD3225-4P Crystals ROHS"
"Y1","X322512MSB4SI","TopLayer","Crystal_resonator","644.465","1443.690","90","SMD Crystal Resonators 12MHz ±10ppm SMD-3225_4P RoHS"
"U5","MCP6002T-I/SN","TopLayer","SOIC127P600X175-8N","2995.000","2207.000","180","0.6 V/us 2 1MHz 1.8V ~ 6V 100µA General Purpose SOIC-8_150mil  Operational Amplifier ROHS"
"U4","DAC IC","TopLayer","MCP4725","3283.079","1580.000","0","IC DAC 12BIT V-OUT SOT23-6"
"U3","CH340G","TopLayer","USB_to_serial","1118.000","1794.000","270","Transceiver USB 2.0 2Mbps SOP-16_150mil USB ICs RoHS"
"U2","ATMEGA328P-ANR","TopLayer","ATMega328P","3415.000","695.000","90","AVR AVR® ATmega Microcontroller IC 8-Bit 20MHz 32KB (16K x 16) FLASH 32-TQFP (7x7)"
"U1","ADS1115IDGSR","TopLayer","ADC_ADS1115IDGSR","3572.000","1577.000","0","16-Bit ADC with Integrated MUX, PGA, Comparator, Oscillator, and Reference 10-VSSOP -40 to 125"
"TP15","TP_Op_Amp_Vout","TopLayer","TP10x_Probe","1600.000","2140.000","90","Test Point 300 mil centers"
"TP14","TP_Comp_Out","TopLayer","TP10x_Probe","1825.000","2140.000","90","Test Point 300 mil centers"
"TP13","TP_Vth","TopLayer","TP10x_Probe","2040.000","2140.000","90","Test Point 300 mil centers"
